,cat 1,cat 2,cat 3,cat 4,cat 5,cat final,url
0,Arts & Photography,Architecture,"Architects, A-Z",0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_0
1,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Religious Buildings,0,0,https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157634011&dc&qid=1660773525&rnid=157632011&ref=lp_157632011_nr_n_0
2,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Specific Styles,0,0,https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157635011&dc&qid=1660773525&rnid=157632011&ref=lp_157632011_nr_n_1
3,Arts & Photography,Architecture,Criticism,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157636011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_2
4,Arts & Photography,Architecture,Drawing & Modelling,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157637011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_3
5,Arts & Photography,Architecture,Historic Preservation,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157639011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_4
6,Arts & Photography,Architecture,History & Periods,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157640011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_5
7,Arts & Photography,Architecture,Interior Design,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157641011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_6
8,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",African,0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157646011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_0
9,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Asian,0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157647011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_1
10,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",British,0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157648011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_2
11,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",European,0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157649011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_3
12,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Middle Eastern,0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157651011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_4
13,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",United States,0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157652011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_5
14,Arts & Photography,Architecture,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",United States (Southern),0,0,https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157653011&dc&qid=1660773536&rnid=157645011&ref=lp_157645011_nr_n_6
15,Arts & Photography,Architecture,Landscape,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157654011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_8
16,Arts & Photography,Architecture,Project Planning & Management,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157655011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_9
17,Arts & Photography,Architecture,Reference,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157656011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_10
18,Arts & Photography,Architecture,Study & Teaching,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157657011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_11
19,Arts & Photography,Architecture,Urban & Land Use Planning,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157658011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_12
20,Arts & Photography,Architecture,Vernacular Architecture,0,0,finale,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A14530422011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_13
21,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Criticism,0,0,https://www.amazon.com/s?bbn=154609011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154610011&dc&qid=1660773549&rnid=154609011&ref=lp_154609011_nr_n_0
22,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Regional,0,0,https://www.amazon.com/s?bbn=154609011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011&dc&qid=1660773549&rnid=154609011&ref=lp_154609011_nr_n_1
23,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object","Schools, Periods & Styles",0,0,https://www.amazon.com/s?bbn=154609011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011&dc&qid=1660773549&rnid=154609011&ref=lp_154609011_nr_n_2
24,Arts & Photography,Art,Erotica,0,0,finale,https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A2309013011&dc&qid=1660772049&rnid=154608011&ref=lp_154608011_nr_n_1
25,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Business of Art,0,0,https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154634011&dc&qid=1660773553&rnid=154633011&ref=lp_154633011_nr_n_0
26,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Collecting,0,0,https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154635011&dc&qid=1660773553&rnid=154633011&ref=lp_154633011_nr_n_1
27,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Color,0,0,https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154636011&dc&qid=1660773553&rnid=154633011&ref=lp_154633011_nr_n_2
28,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Figure Drawing,0,0,https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154637011&dc&qid=1660773553&rnid=154633011&ref=lp_154633011_nr_n_3
29,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Reference,0,0,https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154639011&dc&qid=1660773553&rnid=154633011&ref=lp_154633011_nr_n_4
30,Arts & Photography,Art,"0               Architects, A-Z
1       Building Types & Styles
2                     Criticism
3           Drawing & Modelling
4         Historic Preservation
                 ...           
3259                     Turkey
3260                          0
3261                    Regions
3262                     States
3263           Washington, D.C.
Name: cat 3, Length: 3264, dtype: object",Study & Teaching,0,0,https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154640011&dc&qid=1660773553&rnid=154633011&ref=lp_154633011_nr_n_5
