,cat 1,cat 2,cat 3,cat 4,cat 5,cat final,url
0,Arts & Photography,Architecture,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_0
1,Arts & Photography,Art,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_1
2,Arts & Photography,Dance,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_2
3,Arts & Photography,Fashion,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154656011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_3
4,Arts & Photography,Graphic Design,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_4
5,Arts & Photography,Individual Artists,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154655011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_5
6,Arts & Photography,Music,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A156302011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_6
7,Arts & Photography,Performing Arts,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154691011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_7
8,Arts & Photography,Photography,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154715011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_8
9,Arts & Photography,Theater,0,0,0,0,https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154704011&dc&qid=1660771887&rnid=154607011&ref=lp_154607011_nr_n_9
10,Biographies & Memoirs,Arts & Literature,0,0,0,0,https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154755011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_0
11,Biographies & Memoirs,Cultural & Regional,0,0,0,0,https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154777011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_1
12,Biographies & Memoirs,Historical,0,0,0,0,https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154781011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_2
13,Biographies & Memoirs,Leaders & Notable People,0,0,0,0,https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154786011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_3
14,Biographies & Memoirs,LGBTQ+,0,0,0,0,https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A156425011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_4
15,Biographies & Memoirs,Memoirs,0,0,0,0,https://www.amazon.com/s?bbn=154754011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154754011%2Cn%3A154793011&dc&qid=1660771889&rnid=154754011&ref=lp_154754011_nr_n_5
