,cat 1,cat 2,cat 3,cat 4,cat 5,cat final,url
0,Arts & Photography,Architecture,"Architects, A-Z",0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_0
1,Arts & Photography,Architecture,Building Types & Styles,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_1
2,Arts & Photography,Architecture,Criticism,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157636011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_2
3,Arts & Photography,Architecture,Drawing & Modelling,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157637011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_3
4,Arts & Photography,Architecture,Historic Preservation,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157639011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_4
5,Arts & Photography,Architecture,History & Periods,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157640011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_5
6,Arts & Photography,Architecture,Interior Design,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157641011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_6
7,Arts & Photography,Architecture,International,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_7
8,Arts & Photography,Architecture,Landscape,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157654011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_8
9,Arts & Photography,Architecture,Project Planning & Management,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157655011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_9
10,Arts & Photography,Architecture,Reference,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157656011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_10
11,Arts & Photography,Architecture,Study & Teaching,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157657011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_11
12,Arts & Photography,Architecture,Urban & Land Use Planning,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157658011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_12
13,Arts & Photography,Architecture,Vernacular Architecture,0,0,0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A14530422011&dc&qid=1660772046&rnid=157630011&ref=lp_157630011_nr_n_13
14,Arts & Photography,Art,Art History,0,0,0,https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011&dc&qid=1660772049&rnid=154608011&ref=lp_154608011_nr_n_0
15,Arts & Photography,Art,Erotica,0,0,0,https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A2309013011&dc&qid=1660772049&rnid=154608011&ref=lp_154608011_nr_n_1
16,Arts & Photography,Art,Instruction & Reference,0,0,0,https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011&dc&qid=1660772049&rnid=154608011&ref=lp_154608011_nr_n_2
