;cat 1;cat 2;cat 3;cat 4;cat 5;cat final;url;url_node;node
18;Computers & Technology;Interactive & Multimedia;0;0;0;finale;https://www.amazon.com/s?bbn=156116011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156116011%2Cn%3A16977221011&dc&qid=1660771904&rnid=156116011&ref=lp_156116011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A16977221011&fs=true&page=1;3A16977221011
19;Computers & Technology;Security & Encryption;0;0;0;finale;https://www.amazon.com/s?bbn=156116011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156116011%2Cn%3A16977290011&dc&qid=1660771904&rnid=156116011&ref=lp_156116011_nr_n_14;https://www.amazon.com/s?i=digital-text&rh=n%3A16977290011&fs=true&page=1;3A16977290011
20;Cookbooks, Food & Wine;Canning & Preserving;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A156166011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_1;https://www.amazon.com/s?i=digital-text&rh=n%3A156166011&fs=true&page=1;3A156166011
21;Cookbooks, Food & Wine;Comfort Food;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A17744513011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_2;https://www.amazon.com/s?i=digital-text&rh=n%3A17744513011&fs=true&page=1;3A17744513011
22;Cookbooks, Food & Wine;Culinary Arts & Techniques;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A156179011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_4;https://www.amazon.com/s?i=digital-text&rh=n%3A156179011&fs=true&page=1;3A156179011
23;Cookbooks, Food & Wine;Low Budget;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A6361580011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A6361580011&fs=true&page=1;3A6361580011
24;Cookbooks, Food & Wine;Media Tie-In;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A17744511011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_9;https://www.amazon.com/s?i=digital-text&rh=n%3A17744511011&fs=true&page=1;3A17744511011
25;Cookbooks, Food & Wine;Natural Foods;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A156195011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A156195011&fs=true&page=1;3A156195011
26;Cookbooks, Food & Wine;Outdoor Cooking;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A156196011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_11;https://www.amazon.com/s?i=digital-text&rh=n%3A156196011&fs=true&page=1;3A156196011
27;Cookbooks, Food & Wine;Reference;0;0;0;finale;https://www.amazon.com/s?bbn=156154011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156154011%2Cn%3A156206011&dc&qid=1660771906&rnid=156154011&ref=lp_156154011_nr_n_14;https://www.amazon.com/s?i=digital-text&rh=n%3A156206011&fs=true&page=1;3A156206011
