Numero;cat1;cat2;cat3;cat4;cat5;cat6;url
0;Arts & Photography;Architecture;Architects, A-Z;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0
1;Arts & Photography;Architecture;Building Types & Styles;Religious Buildings;;;https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157634011&dc&qid=1689403032&rnid=157632011&ref=lp_157632011_nr_n_0
2;Arts & Photography;Architecture;Building Types & Styles;Specific Styles;;;https://www.amazon.com/s?bbn=157632011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157632011%2Cn%3A157635011&dc&qid=1689403032&rnid=157632011&ref=lp_157632011_nr_n_1
3;Arts & Photography;Architecture;Criticism;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157636011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_2
4;Arts & Photography;Architecture;Drawing & Modelling;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157637011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_3
5;Arts & Photography;Architecture;Historic Preservation;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157639011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_4
6;Arts & Photography;Architecture;History & Periods;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157640011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_5
7;Arts & Photography;Architecture;Interior Design;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157641011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_6
8;Arts & Photography;Architecture;International;African;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157646011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_0
9;Arts & Photography;Architecture;International;Asian;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157647011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_1
10;Arts & Photography;Architecture;International;British;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157648011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_2
11;Arts & Photography;Architecture;International;European;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157649011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_3
12;Arts & Photography;Architecture;International;Middle Eastern;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157651011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_4
13;Arts & Photography;Architecture;International;United States;;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157652011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_5
14;Arts & Photography;Architecture;International;United States (Southern);;;https://www.amazon.com/s?bbn=157645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157645011%2Cn%3A157653011&dc&qid=1689403044&rnid=157645011&ref=lp_157645011_nr_n_6
15;Arts & Photography;Architecture;Landscape;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157654011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_8
16;Arts & Photography;Architecture;Project Planning & Management;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157655011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_9
17;Arts & Photography;Architecture;Reference;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157656011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_10
18;Arts & Photography;Architecture;Study & Teaching;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157657011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_11
19;Arts & Photography;Architecture;Urban & Land Use Planning;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157658011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_12
20;Arts & Photography;Architecture;Vernacular Architecture;;;;https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A14530422011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_13
21;Arts & Photography;Art;Art History;Criticism;;;https://www.amazon.com/s?bbn=154609011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154610011&dc&qid=1689403068&rnid=154609011&ref=lp_154609011_nr_n_0
22;Arts & Photography;Art;Art History;Regional;African;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154613011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_0
23;Arts & Photography;Art;Art History;Regional;Black & African American;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154614011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_1
24;Arts & Photography;Art;Art History;Regional;Asian;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154615011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_2
25;Arts & Photography;Art;Art History;Regional;Caribbean & Latin American;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154616011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_3
26;Arts & Photography;Art;Art History;Regional;European;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154617011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_4
27;Arts & Photography;Art;Art History;Regional;Middle Eastern;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154618011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_5
28;Arts & Photography;Art;Art History;Regional;Native American;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154619011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_6
29;Arts & Photography;Art;Art History;Regional;United States;;https://www.amazon.com/s?bbn=154612011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154612011%2Cn%3A154620011&dc&qid=1689403072&rnid=154612011&ref=lp_154612011_nr_n_7
30;Arts & Photography;Art;Art History;Schools, Periods & Styles;Ancient & Classical;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154622011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_0
31;Arts & Photography;Art;Art History;Schools, Periods & Styles;Baroque;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154623011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_1
32;Arts & Photography;Art;Art History;Schools, Periods & Styles;Impressionism;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154624011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_2
33;Arts & Photography;Art;Art History;Schools, Periods & Styles;Medieval;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154625011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_3
34;Arts & Photography;Art;Art History;Schools, Periods & Styles;Modern;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154626011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_4
35;Arts & Photography;Art;Art History;Schools, Periods & Styles;Neoclassical;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154627011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_5
36;Arts & Photography;Art;Art History;Schools, Periods & Styles;Prehistoric & Primitive;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154628011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_6
37;Arts & Photography;Art;Art History;Schools, Periods & Styles;Renaissance;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154629011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_7
38;Arts & Photography;Art;Art History;Schools, Periods & Styles;Romantic;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154630011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_8
39;Arts & Photography;Art;Art History;Schools, Periods & Styles;Surrealism;;https://www.amazon.com/s?bbn=154621011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154609011%2Cn%3A154621011%2Cn%3A154631011&dc&qid=1689403088&rnid=154621011&ref=lp_154621011_nr_n_9
40;Arts & Photography;Art;Erotica;;;;https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A2309013011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_1
41;Arts & Photography;Art;Instruction & Reference;Business of Art;;;https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154634011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_0
42;Arts & Photography;Art;Instruction & Reference;Collecting;;;https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154635011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_1
43;Arts & Photography;Art;Instruction & Reference;Color;;;https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154636011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_2
44;Arts & Photography;Art;Instruction & Reference;Figure Drawing;;;https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154637011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_3
45;Arts & Photography;Art;Instruction & Reference;Reference;;;https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154639011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_4
46;Arts & Photography;Art;Instruction & Reference;Study & Teaching;;;https://www.amazon.com/s?bbn=154633011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154633011%2Cn%3A154640011&dc&qid=1689403111&rnid=154633011&ref=lp_154633011_nr_n_5
47;Arts & Photography;Art;Museums & Collections;Museums;;;https://www.amazon.com/s?bbn=154641011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154641011%2Cn%3A154643011&dc&qid=1689403122&rnid=154641011&ref=lp_154641011_nr_n_0
48;Arts & Photography;Art;Museums & Collections;Private;;;https://www.amazon.com/s?bbn=154641011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154641011%2Cn%3A154644011&dc&qid=1689403122&rnid=154641011&ref=lp_154641011_nr_n_1
49;Arts & Photography;Art;Other Media;Ceramics;;;https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154646011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_0
50;Arts & Photography;Art;Other Media;Conceptual;;;https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154647011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_1
51;Arts & Photography;Art;Other Media;Mixed Media;;;https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154648011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_2
52;Arts & Photography;Art;Other Media;Mosaic;;;https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A154649011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_3
53;Arts & Photography;Art;Other Media;Video Games;;;https://www.amazon.com/s?bbn=154645011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154645011%2Cn%3A17744479011&dc&qid=1689403127&rnid=154645011&ref=lp_154645011_nr_n_4
54;Arts & Photography;Art;Painting;;;;https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154650011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_5
55;Arts & Photography;Art;Religious;;;;https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154653011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_6
56;Arts & Photography;Art;Sculpture;;;;https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A154654011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_7
57;Arts & Photography;Art;Subjects & Themes;Environmental & Land Art;;;https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A16232443011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_0
58;Arts & Photography;Art;Subjects & Themes;Human Figure;;;https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650840011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_1
59;Arts & Photography;Art;Subjects & Themes;Landscapes & Seascapes;;;https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650841011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_2
60;Arts & Photography;Art;Subjects & Themes;Plants & Animals;;;https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650842011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_3
61;Arts & Photography;Art;Subjects & Themes;Science Fiction & Fantasy;;;https://www.amazon.com/s?bbn=11650838011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A11650838011%2Cn%3A11650843011&dc&qid=1689403143&rnid=11650838011&ref=lp_11650838011_nr_n_4
62;Arts & Photography;Art;Women Artists;;;;https://www.amazon.com/s?bbn=154608011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154608011%2Cn%3A17744480011&dc&qid=1689403066&rnid=154608011&ref=lp_154608011_nr_n_9
63;Arts & Photography;Dance;Ballet;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154693011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_0
64;Arts & Photography;Dance;Ballroom;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154694011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_1
65;Arts & Photography;Dance;Classical;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154695011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_2
66;Arts & Photography;Dance;Folk;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154696011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_3
67;Arts & Photography;Dance;Jazz;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154698011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_4
68;Arts & Photography;Dance;Modern;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154699011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_5
69;Arts & Photography;Dance;Notation;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154700011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_6
70;Arts & Photography;Dance;Popular;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154701011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_7
71;Arts & Photography;Dance;Reference;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154702011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_8
72;Arts & Photography;Dance;Tap;;;;https://www.amazon.com/s?bbn=154692011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154692011%2Cn%3A154703011&dc&qid=1689403156&rnid=154692011&ref=lp_154692011_nr_n_9
73;Arts & Photography;Fashion;;;;;https://www.amazon.com/s?bbn=154607011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154656011&dc&qid=1689403026&rnid=154607011&ref=lp_154607011_nr_n_3
74;Arts & Photography;Graphic Design;Airbrush;;;;https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154658011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_0
75;Arts & Photography;Graphic Design;Animation;;;;https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154659011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_1
76;Arts & Photography;Graphic Design;Calligraphy;;;;https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154660011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_2
77;Arts & Photography;Graphic Design;Cartooning;;;;https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154661011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_3
78;Arts & Photography;Graphic Design;Clip Art;;;;https://www.amazon.com/s?bbn=154657011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154662011&dc&qid=1689403177&rnid=154657011&ref=lp_154657011_nr_n_4
79;Arts & Photography;Graphic Design;Commercial;Advertising;;;https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154664011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_0
80;Arts & Photography;Graphic Design;Commercial;Annuals;;;https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154665011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_1
81;Arts & Photography;Graphic Design;Commercial;Fashion Design;;;https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154666011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_2
82;Arts & Photography;Graphic Design;Commercial;Illustration;;;https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154668011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_3
83;Arts & Photography;Graphic Design;Commercial;Science Illustration;;;https://www.amazon.com/s?bbn=154663011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154663011%2Cn%3A154669011&dc&qid=1689403188&rnid=154663011&ref=lp_154663011_nr_n_4
84;Arts & Photography;Graphic Design;Design;Books;;;https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154671011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_0
85;Arts & Photography;Graphic Design;Design;Decorative;;;https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154672011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_1
86;Arts & Photography;Graphic Design;Design;Furniture;;;https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154673011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_2
87;Arts & Photography;Graphic Design;Design;Jewelry;;;https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A14530428011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_3
88;Arts & Photography;Graphic Design;Design;Textile & Costume;;;https://www.amazon.com/s?bbn=154670011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154670011%2Cn%3A154675011&dc&qid=1689403198&rnid=154670011&ref=lp_154670011_nr_n_4
89;Arts & Photography;Graphic Design;Drawing;Pastel;;;https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154678011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_0
90;Arts & Photography;Graphic Design;Drawing;Pen & Ink;;;https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154679011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_1
91;Arts & Photography;Graphic Design;Drawing;Pencil;;;https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154680011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_2
92;Arts & Photography;Graphic Design;Drawing;Specific Objects;;;https://www.amazon.com/s?bbn=154676011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154676011%2Cn%3A154681011&dc&qid=1689403210&rnid=154676011&ref=lp_154676011_nr_n_3
93;Arts & Photography;Graphic Design;Graphic Arts;Use of Color;;;https://www.amazon.com/s?bbn=154682011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A154657011%2Cn%3A154682011%2Cn%3A154684011&dc&qid=1689403219&rnid=154682011&ref=lp_154682011_nr_n_0
